title,category,location,telephone,website,mail
ACE HÔTEL SALON DE PROVENCE,Hôtel de tourisme,161 CHEMIN DES ENTRAGES -13300SALON-DE-PROVENCE,04 90 45 51 30,www.ace-hotel.com/fr/ace-hotel-salon-de-provence,salon@ace-hotel.com
ACE HÔTEL TOULOUSE BLAGNAC,Hôtel de tourisme,35 bis route de Toulouse -31700Cornebarrieu,05 61 59 00 66,https://www.ace-hotel-toulouse.com,toulouse@ace-hotel.com
ACE HÔTEL TROYES,Hôtel de tourisme,89 route d’Auxerre -10120Saint-André-les-Vergers,03 25 76 25 15,https://www.ace-hotel-troyes.com/fr/,troyes@ace-hotel.com
ACE HÔTEL VALENCE,Hôtel de tourisme,47 avenue des Auréats -26000VALENCE,04 75 56 05 60,https://www.ace-hotel-valence.fr/,valence@ace-hotel.com
ACE HÔTEL VENDÉE SAINTE HERMINE,Hôtel de tourisme,Parc Vendée Atlantique -85210SAINTE-HERMINE,02 51 28 46 94,https://www.ace-hotel-vendee.com/,vendee@ace-hotel.com
ACE MÔTEL ATHÉE SUR CHER,Hôtel de tourisme,AUTOROUTE A85 -37270ATHÉE-SUR-CHER,02 47 25 59 50,https://www.ace-hotel.com/fr/ace-motel-athee-sur-cher,athee@ace-hotel.com
ACROPOLE HÔTEL,Hôtel de tourisme,10 rue de la Grande Malouve -27300Bernay,02 32 46 06 06,https://www.hotel-acropole.com/,acropolehotel@wanadoo.fr
ACROPOLIS HÔTEL PARIS BOULOGNE,Hôtel de tourisme,63 rue Thiers -92100Boulogne-Billancourt,01 46 08 16 01,https://www.acropolishotel.fr/fr/,contact@acropolishotel.fr
ADAMS HÔTEL,Hôtel de tourisme,3 Rue Pierre Boileau -57050METZ,03 87 33 19 56,https://www.adams-hotel-metz.fr/,contact@adams-hotel-metz.fr
ADMIRAL'S HÔTEL,Hôtel de tourisme,Boulevard du Souvenir Français -85100Les Sables-d'Olonne,02 51 21 41 41,https://www.admiralhotel.fr/,contact@admiralhotel.fr
AGATHE'HÔTEL,Hôtel de tourisme,17 rue font de cherves -17200ROYAN,05 46 39 61 85,http://www.hotel-centre-royan.fr/,isabellevignaud69@gmail.com
AIRE NATURELLE CAMPING LA CLAIRIÈRE,Camping,La Clairière -09000L'HERM,05 61 01 65 12,www.campinglaclairiere.fr,camping.laclairiere@aliceadsl.fr
AIRE NATURELLE CAMPING LA LOIRE FLEURIE,Camping,60 chemin de la Jalonnière -85300LE PERRIER,02 44 36 63 47,www.camping-laloirefleurie.com,contact.laloirefleurie@gmail.com
AIRE NATURELLE CAMPING À LA FERME OSPITALIA,Camping,maison ospitalia -64640HÉLETTE,05 59 37 98 79,www.camping-laloirefleurie.com,contact.laloirefleurie@gmail.com
AIRE NATURELLE DE CAMPING CAZENAVE DOUX,Camping,19 rue Houndaa -64260CASTET,06 81 44 15 99,http://cazenave-doux.haut-bearn.fr/,chezjeancazenave@wanadoo.fr
AIRE NATURELLE DE CAMPING DIRIART,Camping,Départementale 22 -64780SUHESCUN,05 59 37 69 61,campingalafermepaysbasque.com,dominique.diriart0614@orange.fr
AIRE NATURELLE DE CAMPING LA DEVÈZE,Camping,Mas la Devèze -34190Montoulieu,06 82 49 53 12,https://deveze.com/,domaine@deveze.com
AIRE NATURELLE DE CAMPING LA JONQUILLE,Camping,6 rue des Jonquilles -70210Hurecourt,03 84 92 94 61,http://www.camping-la-jonquille.eu/FR/,contact@camping-la-jonquille.eu
AIRE NATURELLE DE CAMPING LA TEOULEYRE,Camping,468 chemin de Jean de Paul -40170Saint-Julien-en-Born,05 58 42 77 80,https://lateouleyre.jimdo.com/,info@lateouleyre.com
AIRE NATURELLE DE CAMPING LE MOULIN,Camping,Quartier le Moulin -26340Pradelle,04 75 21 69 96,https://www.relaislemoulin.com/,lemoulin.accueil@orange.fr
AIRE NATURELLE DE CAMPING LES RIVES DU LAC,Camping,La ferme de Rieumontagné -81320NAGES,05 63 37 45 76,www.lesrivesdulac.com,vacances@lesrivesdulacc.com
AIRE NATURELLE DE FRANC,Camping,226 chemin de Franc -40660MOLIETS-ET-MAA,06 09 44 14 59,camping-de-franc.fr,j.lafitte40@orange.fr
AIRE NATURELLE DE POUYLEBON,Camping,Lieu dit Haouré -32320POULEBON,05 62 66 72 10,https://www.campingpouylebon.com/,campingpouylebon2@wanadoo.fr
AIRE NATURELLE DE SORE,Camping,339 rue Broustra -40430SORE,05 58 07 60 06,https://www.sore.fr/Vie-pratique/Hebergements/Aire-naturelle-de-camping-2-epis,mairie@sore.fr
AIRE NATURELLE DU FORT SAMSON,Camping,25 rue du Fort Samson -14450Grandcamp-Maisy,02 31 22 37 13,https://campingdufortsamson.com/,aire.nat.camping.fort.sam@orange.fr
AIRE NATURELLE FERME DE LA BORDE,Camping,La Borde -12390BOURNAZEL,05 65 64 41 09,http://fermelaborde12.fr/,roland.mathat@orange.fr
AIRE NATURELLE KERALUIC,Camping,Lieu-dit Keraluic -29120Plomeur,02 98 82 10 22,https://keraluic.fr/bienvenue,camping@keraluic.fr
AIRE NATURELLE LA BERGE OMBRAGÉE,Camping,Lieu-dit Valeyran Brivezac -19120Beaulieu-sur-Dordogne,06 09 59 72 96,https://berge-ombragee.com/fr/,contact@berge-ombragee.com
AIRE NATURELLE LAFARGUE DUPORT,Camping,1674 chemin de Mayotte -40600Biscarrosse,05 58 78 74 58,http://aire-naturelle-lafargue.fr/,airenaturelle.lafargue@gmail.com
AIRE NATURELLE LE CASROUGE,Camping,77 route de Saint-Malo de La Lande -50230Agon-Coutainville,06 32 74 59 09,https://www.camping-casrouge.fr/,fermebecsplats@wanadoo.fr
AIRE NATURELLE LE CLOS VERT,Camping,Village de l'Église -50190Saint-Martin-d'Aubigny,02 33 07 73 92,https://www.france-voyage.com/campings/camping-saint-martin-d-aubigny-36012.htm,mairie-st-martin-daubigny@wanadoo.fr
AIRE NATURELLE LE FREZAT,Camping,2583 chemin de Mayotte -40600BISCARROSSE,06 22 65 57 37,www.lefrezat.fr,contact@lefrezat.fr
AIRE NATURELLE LE MAS DE ROME,Camping,Lieu-dit Le Mas De Rome -30630GOURDARGUES,04 66 82 25 24,www.lefrezat.fr,contact@lefrezat.fr
AIRE NATURELLE LE TOY,Camping,1284 route des Carroués -40990Herm,05 58 91 55 16,http://www.camping-du-toy.com/fr/,mall@camping-du-toy.com
AIRE NATURELLE LE VALEYRAN,Camping,Lieu-dit Valeyran Brivezac -19120Beaulieu-sur-Dordogne,06 09 59 72 96,https://berge-ombragee.com/fr/,contact@berge-ombragee.com
AIRE NATURELLE LES BRUYÈRES,Camping,3725 route de Bordeaux -40600BISCARROSSE,06 20 11 61 99,https://berge-ombragee.com/fr/,contact@berge-ombragee.com
AIRE NATURELLE LES CERISIERS,Camping,987 route de Pelussin -42520MACLAS,06 63 37 01 23,www.camping-maclas.fr,laurent_borde@yahoo.fr
AIRE NATURELLE VALENTHÈZE,Camping,Lieu-dit Lagrave -46700MONTCABRIER,05 65 36 03 57,www.valentheze.fr,info@valentheze.fr
AIX HÔTEL,Hôtel de tourisme,115 rue charles duchesne -13080AIX-EN-PROVENCE,04 42 39 93 17,http://www.aixhotel.fr/,aixhotel@wanadoo.fr
AKENA HÔTELS NANTES REZÉ AÉROPORT,Hôtel de tourisme,12 rue des Bruyères -44400Rezé,02 55 59 05 50,https://www.hotels-akena.com/hotel/hotel-akena-nantes-reze-aeroport,reze44@hotels-akena.com
ALB'HÔTEL,Hôtel de tourisme,369 Route des Asnières -74540ALBY-SUR-CHÉRAN,04 50 68 14 14,https://www.albhotel.fr/,contact@albhotel.fr
ALBA OPÉRA HÔTEL,Hôtel de tourisme,34 ter rue de la Tour d'Auvergne -75009PARIS,01 48 78 80 22,www.albaoperahotel.com,albaopera@orange.fr
ALEX HOTEL,Hôtel de tourisme,13-15 Place des Marseillaises -13001MARSEILLE,04 13 24 13 24,http://www.alex-hotel.fr/,reservation@hotelalex.fr
ALEZAN HÔTEL,Hôtel de tourisme,2 allée Antoine Osete -31000Toulouse,05 31 61 62 51,https://www.alezan-toulouse.com/,contact@alezan-toulouse.com
ALFA HÔTEL PARIS NATION,Hôtel de tourisme,12 Rue Guénot -75011PARIS,01 43 71 78 25,https://www.alfahotel.fr/,info@alfahotel.fr
ALIVE HÔTEL DE QUÉBEC,Hôtel de tourisme,18-24 rue de Québec -76000Rouen,02 35 70 09 38,https://www.hotel-rouen.com,contact@hotel-rouen.com
ALLOBROGES PARK HÔTEL,Hôtel de tourisme,11 rue Sommeiller -74000Annecy,04 50 45 03 11,https://www.allobroges.com/,info@allobroges.com
ALSACE CAMPING,Camping,14 rue Heiligenberg Gare -67190GRESSWILLER,03 88 50 15 13,http://www.alsacecamping.net/,alsacecamping@orange.fr
ALTI HÔTEL,Hôtel de tourisme,19 allée d'Étigny -31110Bagnères-de-Luchon,05 61 79 56 97,https://www.alti-hotel.com/,reception.luchon@actaluchon.com
ALTI'PIC HÔTEL,Hôtel de tourisme,30 avenue Georges Clémenceau -63240Mont-Dore,04 73 65 05 49,https://www.altipic-hotel-sancy.com/fr/index-fr.php,altipic.hotel.sancy@gmail.com
AMA HÔTEL,Hôtel de tourisme,8 Rue de la Maison Suisse -64200Biarritz,05 59 22 64 60,http://www.hotel-alcyon-biarritz.com,contact@hotel-alcyon-biarritz.com
AMADOUR HÔTEL,Hôtel de tourisme,L'HOSPITALET -46500ROCAMADOUR,05 65 33 73 50,http://www.amadour-hotel.com,contact@amadour-hotel.com
AMIRAL HÔTEL,Hôtel de tourisme,98 avenue d'Italie -75013Paris 13e Arrondissement,01 45 65 12 51,https://www.amiralhotel.com/,contact@amiralhotel.com
AMIRAUTÉ HÔTEL,Hôtel de tourisme,Route de Paris -14800Touques,02 31 81 82 82,https://www.amiraute.com/,hotel@amiraute.com
ANIS HÔTEL,Hôtel de tourisme,50Avenue de la Lanterne -06200NICE,04 93 18 29 00,www.hotel-anis.com,info@hotel-anis.com
ANTOINETTE CHAMPION,Hôtel de tourisme,le bourg -46600CREYSSE,05 65 32 22 01,www.auberge-de-lile.com,aubergedelile@iptis.net
APART'É RÉSIDENCE LES COTTAGES DU LAC,Résidence de tourisme,190 chemin des Cottages -40160Parentis-en-Born,05 58 82 04 56,http://www.lescottagesdulac.fr/fr/,accueil@lescottagesdulac.fr
APARTHÔTEL AMMI VIEUX NICE,Hôtel de tourisme,10 boulevard Jean Jaurès -06300Nice,04 93 85 75 51,https://www.ammivieuxnice.com/,bonjour@ammivieuxnice.com
APPART HÔTEL PACCIOLELLO,Hôtel de tourisme,Route du Fort -20166Grosseto-Prugna,06 07 51 31 22,https://www.ammivieuxnice.com/,bonjour@ammivieuxnice.com
APPART HÔTEL VICTORIA,Hôtel de tourisme,16 rue de Montreuil -94300Vincennes,06 95 34 02 38,https://www.apparthotelvictoria.com/,contact@apparthotelvictoria.com
APPART' HÔTEL DES CAPUCINS,Hôtel de tourisme,29 rue des Capucins -43000LE PUY-EN-VELAY,04 71 04 28 74,http://www.lescapucins.net,contact@lescapucins.net
APPART'CITY CONFORT TOULOUSE AEROPORT CORNEBARRIEU,Résidence de tourisme,2 chemin de la plane -31700CORNEBARRIEU,05 62 74 62 20,https://www.appartcity.com/fr/destinations/midi-pyrenees/cornebarrieu/confort-toulouse-aeroport-cornebarrieu.html,toulouse-cornebarrieu-confort@appartcity.com
APPART'CITY DIJON,Résidence de tourisme,rue des grandes varennes -21121AHUY,03 80 59 31 31,http://www.appartcity.com/fr/appart-hotel/dijon-ahuy-a-dijon.html,dijon@appartcity.com
APPART'HÔTEL ATAO,Hôtel de tourisme,6 rue de la Blanche Hermine -35770Vern-sur-Seiche,02 23 35 01 01,https://www.atao-apparthotel.com/,reservation@atao-apparthotel.com
APPART'HÔTEL LE MIRASOL,Hôtel de tourisme,11 avenue du Belvédère -66760Enveitg,06 33 53 73 60,https://www.vacances-balneo-cerdagne.com/,gazza66@orange.fr
APPARTHÔTEL LA GIRAFE MARSEILLE EST,Hôtel de tourisme,25-43 boulevard de la Gare -13821La Penne-sur-Huveaune,04 91 31 36 36,http://hotel-lagirafe.com/,contact@hotel-lagirafe.com
APPARTHÔTEL LES TILLEULS,Hôtel de tourisme,16 allée des Tilleuls -33490SAINT-MACAIRE,05 56 62 28 38,www.tilleul-medieval.com,contact@tilleul-medieval.com
AQUITAIN HÔTEL,Hôtel de tourisme,47 Rue Eugène Le Roy -33800BORDEAUX,05 56 33 60 00,www.aquitain-hotel.com,contact@aquitain-hotel.com
ARA HÔTEL,Hôtel de tourisme,PIace de Mescoat -29800LANDERNEAU,02 98 21 85 00,http://www.arahotel.fr,reception@arahotel.fr
ARC EN CIEL COLMAR,Hôtel de tourisme,38 route de Sélestat -68000COLMAR,03 89 41 23 33,http://www.arc-en-ciel-hotel-colmar.com,hotel-arc-en-ciel-hexagone@orange.fr
ARC HÔTEL AIX,Hôtel de tourisme,40 avenue Henri Malacrida -13080AIX-EN-PROVENCE,04 42 26 12 12,www.archotelaix.com,arc-hotel@wanadoo.fr
ARCHE HÔTEL,Hôtel de tourisme,13 rue du 11 novembre 1918 -18100Vierzon,02 48 71 93 10,https://www.arche-hotel.com,info@arche-hotel.fr
ARDENN'HÔTEL,Hôtel de tourisme,6 rue Caqué -51100REIMS,03 26 47 42 38,http://www.ardennhotel.fr/,ardennhotel@wanadoo.fr
ARDÈCHE CAMPING,Camping,Chemin du camping -07000PRIVAS,04 75 64 05 80,http://www.ardechecamping.fr,contact@ardechecamping.fr
ARMONY HÔTEL,Hôtel de tourisme,Rue Saint Exupery -27310BOURG-ACHARD,02 32 20 20 50,armony-hotel.fr,contact@armony-hotel.fr
AROME HÔTEL NICE,Hôtel de tourisme,65 rue de la Buffa -06000Nice,04 93 88 99 46,http://www.aromehotelnice.com/,info@aromehotelnice.com
ART HÔTEL,Hôtel de tourisme,19 quai de la Loire -37210ROCHECORBON,02 47 22 24 44,www.art-hotel-tours.com,reservation@art-hotel-tours.com
ART HÔTEL EIFFEL,Hôtel de tourisme,136 boulevard de Grenelle -75015PARIS,01 83 92 31 00,www.arthoteleiffel.com,resa@arthoteleiffel.com
ART HÔTEL LAFAYETTE,Hôtel de tourisme,98 rue Hauteville -75010PARIS,01 45 23 85 00,http://www.arthotellafayette.com/,resa@arthotellafayette.com
ART HÔTEL TENDANCE,Hôtel de tourisme,37 rue Armand Barbès -87100LIMOGES,05 55 77 31 72,http://www.arthoteltendance.fr/,arthoteltendance@live.fr
ARTEL HÔTEL,Hôtel de tourisme,1 Avenue Pierre Latécoère -82100CASTELSARRASIN,05 63 32 86 86,http://artel-hotel.fr,artel-hotel@wanadoo.fr
ARTEMIS HÔTEL,Hôtel de tourisme,11 parc des conchettes -43100BRIOUDE,04 71 50 45 04,https://www.artemis-hotel.com,info@artemis-hotel.com
ATIPIK HÔTEL,Hôtel de tourisme,19 rue Vaugelas -74000Annecy,04 50 52 84 33,https://www.atipikhotel.fr/,contact@atipikhotel.fr
ATLANTIC HÔTEL,Hôtel de tourisme,44 rue de Londres -75008PARIS,01 43 87 45 40,https://atlantic-hotel-paris.com/,contact@atlanticparis.fr
ATLANTIC HÔTEL,Hôtel de tourisme,11 rue de la Sablière -17310SAINT-PIERRE-D'OLÉRON,05 46 47 07 09,https://www.oleron-hotel.fr,hotelatlantic@free.fr
ATLANTIC HÔTEL,Hôtel de tourisme,5 promenade Georges Godet -85100Les Sables-d'Olonne,02 51 95 37 71,https://www.atlantichotel.fr/,info@atlantichotel.fr
ATLANTIC HÔTEL,Hôtel de tourisme,3 quai Carnot -85350L'ÎLE-D'YEU,02 51 58 38 80,http://hotel-yeu.com,atlantic-hotel@orange.fr
ATLANTIC HÔTEL PAU,Hôtel de tourisme,222 avenue Jean Mermoz -64000PAU,05 59 32 38 24,https://atlantic-hotel64-pau.com/,atlantic.hotel64@hotmail.com
ATMOSPHÈRE HÔTEL,Hôtel de tourisme,76 avenue de la Muzelle -38860MONT-DE-LANS,04 76 79 21 12,https://www.atmosphere-hotel.com/,societeovs@gmail.com
ATN HÔTEL,Hôtel de tourisme,21 rue d 'Athènes -75009PARIS,01 48 74 00 55,http://www.atnhotel.fr,atn@atnhotel.fr
ATOLL HÔTEL,Hôtel de tourisme,923 boulevard de la mer -83600FRÉJUS,04 94 51 53 77,http://www.atollhotel.fr,atollhotel@wanadoo.fr
ATOLON PARK HÔTEL,Hôtel de tourisme,5 Rue d'Oslo -67170Bernolsheim,03 67 29 02 39,https://www.atolon-parkhotel.com/,info@atolon-parkhotel.fr
ATRIUM HÔTEL,Hôtel de tourisme,20 rue Jean-Louis Barrault -26000Valence,04 75 55 53 62,https://www.atrium-hotel.fr/,info@atrium-hotel.fr
ATYPIK HÔTEL,Hôtel de tourisme,20 rue villeneuve -92110CLICHY,01 47 37 17 01,www.atypikhotel.com,contact@atypikhotel.com
AU CAMPING ROUBAISIEN,Camping,Rue de l'Abbaye -62860OISY-LE-VERGER,03 27 80 50 55,http://au-camping-roubaisien.com,lagep@hotmail.fr
AU GRAND HÔTEL DE SARLAT,Hôtel de tourisme,95 avenue de Selves -24200SARLAT-LA-CANÉDA,05 53 31 50 00,http://au-grand-hotel-de-sarlat.com/,selves@augrandhotelsarlat.com
AU NOUVEL HÔTEL,Hôtel de tourisme,224 boulevard de Tessé -83000TOULON,04 94 89 04 22,https://aunouvelhotel.com/fr/,nouvelhotel83@wanadoo.fr
AU PALMYRE HÔTEL,Hôtel de tourisme,2 allée des Passereaux -17570Les Mathes,05 64 37 20 20,https://au-palmyre-hotel.com/,contact@aupalmyrehotel.com
AU PRIMEROSE HÔTEL,Hôtel de tourisme,23 rue de l'Yser -65400ARGELÈS-GAZOST,05 62 97 06 72,http://www.au-primerose-hotel.fr,info@au-primerose-hotel.fr
AU ROYAL HÔTEL,Hôtel de tourisme,22 boulevard Jean Jaurès -11000Carcassonne,04 68 25 19 12,https://www.auroyal-hotel-carcassonne.com/,auroyalhotel@orange.fr
AUBERGE  LA TERRASSE,Hôtel de tourisme,7 rue de Beauregard -85120LA CHÂTAIGNERAIE,02 51 69 68 68,http://www.aubergelaterrasse.com,contact@aubergelaterrasse.com
AUBERGE ALSACIENNE,Hôtel de tourisme,27 rue d'Alsace -88540BUSSANG,03 29 23 28 21,http://www.auberge-alsacienne.fr/,auberge.alsacienne@orange.fr
AUBERGE ALSACIENNE,Hôtel de tourisme,12 grand rue -68420EGUISHEIM,03 89 41 50 20,http://www.auberge-alsacienne.net,th-peter@orange.fr
AUBERGE AU BOEUF,Hôtel de tourisme,1 rue de l'Eglise -67770Sessenheim,03 88 86 97 14,https://www.auberge-au-boeuf.fr/,contact@auberge-au-boeuf.fr
AUBERGE AUX BLÉS D'OR,Hôtel de tourisme,8 rue Jules Michelet -60350PIERREFONDS,03 44 42 85 91,https://www.auxblesdor.com/f,info@auxblesdor.com
AUBERGE AUX PORTES DE CONQUES,Hôtel de tourisme,5 route du Moulin -12320Conques-en-Rouergue,05 65 69 84 43,https://www.auxportesdeconques.com/,auxportesdeconques@laposte.net
AUBERGE BIENVENUE,Hôtel de tourisme,104 RUE DE CHOLET -49700DOUÉ-LA-FONTAINE,02 41 59 22 44,www.aubergebienvenue.com,contact@aubergebienvenue.com
AUBERGE BOURBONNAISE,Hôtel de tourisme,2 avenue de Vichy -03270SAINT-YORRE,04 70 59 41 79,https://www.auberge-bourbonnaise.fr,aubergebourbonnaise@wanadoo.fr
AUBERGE BRESSANE DE BUELLAS,Hôtel de tourisme,10 route de Buesle -01310Buellas,04 74 24 20 20,https://www.auberge-buellas.com/fr/,reservation@auberge-buellas.com
AUBERGE BRETONNE,Hôtel de tourisme,2 place Duguesclin -56130LA ROCHE-BERNARD,02 99 90 60 28,http://www.auberge-bretonne.com,contact@auberge-bretonne.com
AUBERGE BUISSONNIÈRE,Hôtel de tourisme,L'Eglise -38650GRESSE-EN-VERCORS,04 76 34 37 28,http://www.buissonniere.fr,contact@buissonniere.fr
AUBERGE CAMARGUAISE,Hôtel de tourisme,Départementale 570 -13460Saintes-Maries-de-la-Mer,04 90 97 84 34,http://www.aubergecamarguaise.com,contact@aubergecamarguaise.com
AUBERGE CAVALIÈRE DU PONT DES BANNES,Hôtel de tourisme,route d'Arles -13460SAINTES-MARIES-DE-LA-MER,04 90 97 88 88,http://www.aubergecavaliere.com/,reception@aubergecavaliere.com
